COUNTRY,YEAR,AGE_GROUP,TOTAL_POP,WGCARE_COUNT,WGCOGN_COUNT,WGCOMM_COUNT,WGHEAR_COUNT,WGMOBIL_COUNT,WGVISION_COUNT
76,2000,"[9,19]",35305337.57,0,0,0,1102974.35,844991.72,979288.83
76,2000,"(19,29]",29992355.91,0,0,0,969902.88,781359.1,899148.2
76,2000,"(29,39]",25291545.259999998,0,0,0,764885.3,648080.83,758238.89
76,2000,"(39,49]",19274650.73,0,0,0,600966.05,587783.41,872139.21
76,2000,"(49,59]",12515449.53,0,0,0,459760.67,567888.84,769699.9
76,2000,"(59,69]",8192130.33,0,0,0,389189.63,585794.61,668238.91
76,2000,"(69,79]",4560073.51,0,0,0,333100.25,555002.05,550077.1
76,2000,"(79,89]",1544717.05,0,0,0,217349.79,356115.3,305081.23
76,2000,"(89,99]",217218.59,0,0,0,50719.16,85477.81,65221.16
76,2000,"(99,109]",25789.22,0,0,0,3949.55,5780.91,4620.31
